User Category,Posted Jobs,Booked Jobs,Booking Rate
Friends and Family,      4,      4,  100.00 %
Other,     33,     27,   81.82 %
Sales,     88,     53,   60.23 %
Direct,     73,     43,   58.90 %
Yelp,     19,     10,   52.63 %
Social,      2,      1,   50.00 %
Quora,     55,     25,   45.45 %
Organic Search,    144,     51,   35.42 %
News,      6,      2,   33.33 %
SEM,    127,     40,   31.50 %
Partner,      7,      2,   28.57 %
Legal Blog,      1,       ,          
Email - Links,      2,       ,          
                   Total,    561,    258,   45.99 %
